infinitive,je|present,tu|present,il_elle_on|present,nous|present,vous|present,ils_elles|present,je|past,tu|past,il_elle_on|past,nous|past,vous|past,ils_elles|past,je|future,tu|future,il_elle_on|future,nous|future,vous|future,ils_elles|future
coudoyer,coudoie,coudoies,coudoie,coudoyons,coudoyez,coudoient,coudoyais,coudoyais,coudoyait,coudoyions,coudoyiez,coudoyaient,coudoierai,coudoieras,coudoiera,coudoierons,coudoierez,coudoieront
coudre,couds,couds,coud,cousons,cousez,cousent,cousais,cousais,cousait,cousions,cousiez,cousaient,coudrai,coudras,coudra,coudrons,coudrez,coudront
combattre,combats,combats,combat,combattons,combattez,combattent,combattais,combattais,combattait,combattions,combattiez,combattaient,combattrai,combattras,combattra,combattrons,combattrez,combattront
coorganiser,coorganise,coorganises,coorganise,coorganisons,coorganisez,coorganisent,coorganisais,coorganisais,coorganisait,coorganisions,coorganisiez,coorganisaient,coorganiserai,coorganiseras,coorganisera,coorganiserons,coorganiserez,coorganiseront
contrer,contre,contres,contre,controns,contrez,contrent,contrais,contrais,contrait,contrions,contriez,contraient,contrerai,contreras,contrera,contrerons,contrerez,contreront
condoléancer,condoléance,condoléances,condoléance,condoléançons,condoléancez,condoléancent,condoléançais,condoléançais,condoléançait,condoléancions,condoléanciez,condoléançaient,condoléancerai,condoléanceras,condoléancera,condoléancerons,condoléancerez,condoléanceront
corneter,cornete,cornetes,cornete,cornetons,cornetez,cornetent,cornetais,cornetais,cornetait,cornetions,cornetiez,cornetaient,corneterai,corneteras,cornetera,corneterons,corneterez,corneteront
concevoir,conçois,conçois,conçoit,concevons,concevez,conçoivent,concevais,concevais,concevait,concevions,conceviez,concevaient,concevrai,concevras,concevra,concevrons,concevrez,concevront
conjurer,conjure,conjures,conjure,conjurons,conjurez,conjurent,conjurais,conjurais,conjurait,conjurions,conjuriez,conjuraient,conjurerai,conjureras,conjurera,conjurerons,conjurerez,conjureront
concrétiser,concrétise,concrétises,concrétise,concrétisons,concrétisez,concrétisent,concrétisais,concrétisais,concrétisait,concrétisions,concrétisiez,concrétisaient,concrétiserai,concrétiseras,concrétisera,concrétiserons,concrétiserez,concrétiseront
concilier,concilie,concilies,concilie,concilions,conciliez,concilient,conciliais,conciliais,conciliait,conciliions,conciliiez,conciliaient,concilierai,concilieras,conciliera,concilierons,concilierez,concilieront
concerner,concerne,concernes,concerne,concernons,concernez,concernent,concernais,concernais,concernait,concernions,concerniez,concernaient,concernerai,concerneras,concernera,concernerons,concernerez,concerneront
concurrencer,concurrence,concurrences,concurrence,concurrençons,concurrencez,concurrencent,concurrençais,concurrençais,concurrençait,concurrencions,concurrenciez,concurrençaient,concurrencerai,concurrenceras,concurrencera,concurrencerons,concurrencerez,concurrenceront
couler,coule,coules,coule,coulons,coulez,coulent,coulais,coulais,coulait,coulions,couliez,coulaient,coulerai,couleras,coulera,coulerons,coulerez,couleront
courir,cours,cours,court,courons,courez,courent,courais,courais,courait,courions,couriez,couraient,courrai,courras,courra,courrons,courrez,courront
corroder,corrode,corrodes,corrode,corrodons,corrodez,corrodent,corrodais,corrodais,corrodait,corrodions,corrodiez,corrodaient,corroderai,corroderas,corrodera,corroderons,corroderez,corroderont
comprimer,comprime,comprimes,comprime,comprimons,comprimez,compriment,comprimais,comprimais,comprimait,comprimions,comprimiez,comprimaient,comprimerai,comprimeras,comprimera,comprimerons,comprimerez,comprimeront
contaminer,contamine,contamines,contamine,contaminons,contaminez,contaminent,contaminais,contaminais,contaminait,contaminions,contaminiez,contaminaient,contaminerai,contamineras,contaminera,contaminerons,contaminerez,contamineront
continuer,continue,continues,continue,continuons,continuez,continuent,continuais,continuais,continuait,continuions,continuiez,continuaient,continuerai,continueras,continuera,continuerons,continuerez,continueront
compulser,compulse,compulses,compulse,compulsons,compulsez,compulsent,compulsais,compulsais,compulsait,compulsions,compulsiez,compulsaient,compulserai,compulseras,compulsera,compulserons,compulserez,compulseront
conteneuriser,conteneurise,conteneurises,conteneurise,conteneurisons,conteneurisez,conteneurisent,conteneurisais,conteneurisais,conteneurisait,conteneurisions,conteneurisiez,conteneurisaient,conteneuriserai,conteneuriseras,conteneurisera,conteneuriserons,conteneuriserez,conteneuriseront
coulisser,coulisse,coulisses,coulisse,coulissons,coulissez,coulissent,coulissais,coulissais,coulissait,coulissions,coulissiez,coulissaient,coulisserai,coulisseras,coulissera,coulisserons,coulisserez,coulisseront
côtoyer,côtoie,côtoies,côtoie,côtoyons,côtoyez,côtoient,côtoyais,côtoyais,côtoyait,côtoyions,côtoyiez,côtoyaient,côtoierai,côtoieras,côtoiera,côtoierons,côtoierez,côtoieront
conformer,conforme,conformes,conforme,conformons,conformez,conforment,conformais,conformais,conformait,conformions,conformiez,conformaient,conformerai,conformeras,conformera,conformerons,conformerez,conformeront
compiler,compile,compiles,compile,compilons,compilez,compilent,compilais,compilais,compilait,compilions,compiliez,compilaient,compilerai,compileras,compilera,compilerons,compilerez,compileront
compter,compte,comptes,compte,comptons,comptez,comptent,comptais,comptais,comptait,comptions,comptiez,comptaient,compterai,compteras,comptera,compterons,compterez,compteront
consolider,consolide,consolides,consolide,consolidons,consolidez,consolident,consolidais,consolidais,consolidait,consolidions,consolidiez,consolidaient,consoliderai,consolideras,consolidera,consoliderons,consoliderez,consolideront
coucher,couche,couches,couche,couchons,couchez,couchent,couchais,couchais,couchait,couchions,couchiez,couchaient,coucherai,coucheras,couchera,coucherons,coucherez,coucheront
conclure,conclus,conclus,conclut,concluons,concluez,concluent,concluais,concluais,concluait,concluions,concluiez,concluaient,conclurai,concluras,conclura,conclurons,conclurez,concluront
convertir,convertis,convertis,convertit,convertissons,convertissez,convertissent,convertissais,convertissais,convertissait,convertissions,convertissiez,convertissaient,convertirai,convertiras,convertira,convertirons,convertirez,convertiront
compatir,compatis,compatis,compatit,compatissons,compatissez,compatissent,compatissais,compatissais,compatissait,compatissions,compatissiez,compatissaient,compatirai,compatiras,compatira,compatirons,compatirez,compatiront
coupler,couple,couples,couple,couplons,couplez,couplent,couplais,couplais,couplait,couplions,coupliez,couplaient,couplerai,coupleras,couplera,couplerons,couplerez,coupleront
consentir,consens,consens,consent,consentons,consentez,consentent,consentais,consentais,consentait,consentions,consentiez,consentaient,consentirai,consentiras,consentira,consentirons,consentirez,consentiront
corseter,corsète,corsètes,corsète,corsetons,corsetez,corsètent,corsetais,corsetais,corsetait,corsetions,corsetiez,corsetaient,corsèterai,corsèteras,corsètera,corsèterons,corsèterez,corsèteront
concasser,concasse,concasses,concasse,concassons,concassez,concassent,concassais,concassais,concassait,concassions,concassiez,concassaient,concasserai,concasseras,concassera,concasserons,concasserez,concasseront
contraindre,contrains,contrains,contraint,contraignons,contraignez,contraignent,contraignais,contraignais,contraignait,contraignions,contraigniez,contraignaient,contraindrai,contraindras,contraindra,contraindrons,contraindrez,contraindront
conspuer,conspue,conspues,conspue,conspuons,conspuez,conspuent,conspuais,conspuais,conspuait,conspuions,conspuiez,conspuaient,conspuerai,conspueras,conspuera,conspuerons,conspuerez,conspueront
communiquer,communique,communiques,communique,communiquons,communiquez,communiquent,communiquais,communiquais,communiquait,communiquions,communiquiez,communiquaient,communiquerai,communiqueras,communiquera,communiquerons,communiquerez,communiqueront
courroucer,courrouce,courrouces,courrouce,courrouçons,courroucez,courroucent,courrouçais,courrouçais,courrouçait,courroucions,courrouciez,courrouçaient,courroucerai,courrouceras,courroucera,courroucerons,courroucerez,courrouceront
commenter,commente,commentes,commente,commentons,commentez,commentent,commentais,commentais,commentait,commentions,commentiez,commentaient,commenterai,commenteras,commentera,commenterons,commenterez,commenteront
compasser,compasse,compasses,compasse,compassons,compassez,compassent,compassais,compassais,compassait,compassions,compassiez,compassaient,compasserai,compasseras,compassera,compasserons,compasserez,compasseront
comploter,complote,complotes,complote,complotons,complotez,complotent,complotais,complotais,complotait,complotions,complotiez,complotaient,comploterai,comploteras,complotera,comploterons,comploterez,comploteront
compacter,compacte,compactes,compacte,compactons,compactez,compactent,compactais,compactais,compactait,compactions,compactiez,compactaient,compacterai,compacteras,compactera,compacterons,compacterez,compacteront
contraster,contraste,contrastes,contraste,contrastons,contrastez,contrastent,contrastais,contrastais,contrastait,contrastions,contrastiez,contrastaient,contrasterai,contrasteras,contrastera,contrasterons,contrasterez,contrasteront
