infinitive,je|present,tu|present,il_elle_on|present,nous|present,vous|present,ils_elles|present,je|past,tu|past,il_elle_on|past,nous|past,vous|past,ils_elles|past,je|future,tu|future,il_elle_on|future,nous|future,vous|future,ils_elles|future
pigeonner,pigeonne,pigeonnes,pigeonne,pigeonnons,pigeonnez,pigeonnent,pigeonnais,pigeonnais,pigeonnait,pigeonnions,pigeonniez,pigeonnaient,pigeonnerai,pigeonneras,pigeonnera,pigeonnerons,pigeonnerez,pigeonneront
pister,piste,pistes,piste,pistons,pistez,pistent,pistais,pistais,pistait,pistions,pistiez,pistaient,pisterai,pisteras,pistera,pisterons,pisterez,pisteront
pleurnicher,pleurniche,pleurniches,pleurniche,pleurnichons,pleurnichez,pleurnichent,pleurnichais,pleurnichais,pleurnichait,pleurnichions,pleurnichiez,pleurnichaient,pleurnicherai,pleurnicheras,pleurnichera,pleurnicherons,pleurnicherez,pleurnicheront
plâtrer,plâtre,plâtres,plâtre,plâtrons,plâtrez,plâtrent,plâtrais,plâtrais,plâtrait,plâtrions,plâtriez,plâtraient,plâtrerai,plâtreras,plâtrera,plâtrerons,plâtrerez,plâtreront
photocopier,photocopie,photocopies,photocopie,photocopions,photocopiez,photocopient,photocopiais,photocopiais,photocopiait,photocopiions,photocopiiez,photocopiaient,photocopierai,photocopieras,photocopiera,photocopierons,photocopierez,photocopieront
planquer,planque,planques,planque,planquons,planquez,planquent,planquais,planquais,planquait,planquions,planquiez,planquaient,planquerai,planqueras,planquera,planquerons,planquerez,planqueront
præsider,præside,præsides,præside,præsidons,præsidez,præsident,præsidais,præsidais,præsidait,præsidions,præsidiez,præsidaient,præsiderai,præsideras,præsidera,præsiderons,præsiderez,præsideront
phagocyter,phagocyte,phagocytes,phagocyte,phagocytons,phagocytez,phagocytent,phagocytais,phagocytais,phagocytait,phagocytions,phagocytiez,phagocytaient,phagocyterai,phagocyteras,phagocytera,phagocyterons,phagocyterez,phagocyteront
piauler,piaule,piaules,piaule,piaulons,piaulez,piaulent,piaulais,piaulais,piaulait,piaulions,piauliez,piaulaient,piaulerai,piauleras,piaulera,piaulerons,piaulerez,piauleront
pétitionner,pétitionne,pétitionnes,pétitionne,pétitionnons,pétitionnez,pétitionnent,pétitionnais,pétitionnais,pétitionnait,pétitionnions,pétitionniez,pétitionnaient,pétitionnerai,pétitionneras,pétitionnera,pétitionnerons,pétitionnerez,pétitionneront
polir,polis,polis,polit,polissons,polissez,polissent,polissais,polissais,polissait,polissions,polissiez,polissaient,polirai,poliras,polira,polirons,polirez,poliront
pétrir,pétris,pétris,pétrit,pétrissons,pétrissez,pétrissent,pétrissais,pétrissais,pétrissait,pétrissions,pétrissiez,pétrissaient,pétrirai,pétriras,pétrira,pétrirons,pétrirez,pétriront
plastiquer,plastique,plastiques,plastique,plastiquons,plastiquez,plastiquent,plastiquais,plastiquais,plastiquait,plastiquions,plastiquiez,plastiquaient,plastiquerai,plastiqueras,plastiquera,plastiquerons,plastiquerez,plastiqueront
poser,pose,poses,pose,posons,posez,posent,posais,posais,posait,posions,posiez,posaient,poserai,poseras,posera,poserons,poserez,poseront
pomper,pompe,pompes,pompe,pompons,pompez,pompent,pompais,pompais,pompait,pompions,pompiez,pompaient,pomperai,pomperas,pompera,pomperons,pomperez,pomperont
pleurer,pleure,pleures,pleure,pleurons,pleurez,pleurent,pleurais,pleurais,pleurait,pleurions,pleuriez,pleuraient,pleurerai,pleureras,pleurera,pleurerons,pleurerez,pleureront
prédécéder,prédécède,prédécèdes,prédécède,prédécédons,prédécédez,prédécèdent,prédécédais,prédécédais,prédécédait,prédécédions,prédécédiez,prédécédaient,prédécèderai;prédécéderai,prédécèderas;prédécéderas,prédécèdera;prédécédera,prédécèderons;prédécéderons,prédécèderez;prédécéderez,prédécèderont;prédécéderont
placarder,placarde,placardes,placarde,placardons,placardez,placardent,placardais,placardais,placardait,placardions,placardiez,placardaient,placarderai,placarderas,placardera,placarderons,placarderez,placarderont
pourfondre,pourfonds,pourfonds,pourfond,pourfondons,pourfondez,pourfondent,pourfondais,pourfondais,pourfondait,pourfondions,pourfondiez,pourfondaient,pourfondrai,pourfondras,pourfondra,pourfondrons,pourfondrez,pourfondront
persister,persiste,persistes,persiste,persistons,persistez,persistent,persistais,persistais,persistait,persistions,persistiez,persistaient,persisterai,persisteras,persistera,persisterons,persisterez,persisteront
ponctuer,ponctue,ponctues,ponctue,ponctuons,ponctuez,ponctuent,ponctuais,ponctuais,ponctuait,ponctuions,ponctuiez,ponctuaient,ponctuerai,ponctueras,ponctuera,ponctuerons,ponctuerez,ponctueront
piéger,piège,pièges,piège,piégeons,piégez,piègent,piégeais,piégeais,piégeait,piégions,piégiez,piégeaient,piègerai;piégerai,piègeras;piégeras,piègera;piégera,piègerons;piégerons,piègerez;piégerez,piègeront;piégeront
plagier,plagie,plagies,plagie,plagions,plagiez,plagient,plagiais,plagiais,plagiait,plagiions,plagiiez,plagiaient,plagierai,plagieras,plagiera,plagierons,plagierez,plagieront
personnifier,personnifie,personnifies,personnifie,personnifions,personnifiez,personnifient,personnifiais,personnifiais,personnifiait,personnifiions,personnifiiez,personnifiaient,personnifierai,personnifieras,personnifiera,personnifierons,personnifierez,personnifieront
pixelliser,pixellise,pixellises,pixellise,pixellisons,pixellisez,pixellisent,pixellisais,pixellisais,pixellisait,pixellisions,pixellisiez,pixellisaient,pixelliserai,pixelliseras,pixellisera,pixelliserons,pixelliserez,pixelliseront
pourrir,pourris,pourris,pourrit,pourrissons,pourrissez,pourrissent,pourrissais,pourrissais,pourrissait,pourrissions,pourrissiez,pourrissaient,pourrirai,pourriras,pourrira,pourrirons,pourrirez,pourriront
poisser,poisse,poisses,poisse,poissons,poissez,poissent,poissais,poissais,poissait,poissions,poissiez,poissaient,poisserai,poisseras,poissera,poisserons,poisserez,poisseront
pimenter,pimente,pimentes,pimente,pimentons,pimentez,pimentent,pimentais,pimentais,pimentait,pimentions,pimentiez,pimentaient,pimenterai,pimenteras,pimentera,pimenterons,pimenterez,pimenteront
picoter,picote,picotes,picote,picotons,picotez,picotent,picotais,picotais,picotait,picotions,picotiez,picotaient,picoterai,picoteras,picotera,picoterons,picoterez,picoteront
pervertir,pervertis,pervertis,pervertit,pervertissons,pervertissez,pervertissent,pervertissais,pervertissais,pervertissait,pervertissions,pervertissiez,pervertissaient,pervertirai,pervertiras,pervertira,pervertirons,pervertirez,pervertiront
plastronner,plastronne,plastronnes,plastronne,plastronnons,plastronnez,plastronnent,plastronnais,plastronnais,plastronnait,plastronnions,plastronniez,plastronnaient,plastronnerai,plastronneras,plastronnera,plastronnerons,plastronnerez,plastronneront
plomber,plombe,plombes,plombe,plombons,plombez,plombent,plombais,plombais,plombait,plombions,plombiez,plombaient,plomberai,plomberas,plombera,plomberons,plomberez,plomberont
piocher,pioche,pioches,pioche,piochons,piochez,piochent,piochais,piochais,piochait,piochions,piochiez,piochaient,piocherai,piocheras,piochera,piocherons,piocherez,piocheront
pirater,pirate,pirates,pirate,piratons,piratez,piratent,piratais,piratais,piratait,pirations,piratiez,pirataient,piraterai,pirateras,piratera,piraterons,piraterez,pirateront
perpétuer,perpétue,perpétues,perpétue,perpétuons,perpétuez,perpétuent,perpétuais,perpétuais,perpétuait,perpétuions,perpétuiez,perpétuaient,perpétuerai,perpétueras,perpétuera,perpétuerons,perpétuerez,perpétueront
phoner,phone,phones,phone,phonons,phonez,phonent,phonais,phonais,phonait,phonions,phoniez,phonaient,phonerai,phoneras,phonera,phonerons,phonerez,phoneront
polycopier,polycopie,polycopies,polycopie,polycopions,polycopiez,polycopient,polycopiais,polycopiais,polycopiait,polycopiions,polycopiiez,polycopiaient,polycopierai,polycopieras,polycopiera,polycopierons,polycopierez,polycopieront
poiler,poile,poiles,poile,poilons,poilez,poilent,poilais,poilais,poilait,poilions,poiliez,poilaient,poilerai,poileras,poilera,poilerons,poilerez,poileront
positionner,positionne,positionnes,positionne,positionnons,positionnez,positionnent,positionnais,positionnais,positionnait,positionnions,positionniez,positionnaient,positionnerai,positionneras,positionnera,positionnerons,positionnerez,positionneront
préempter,préempte,préemptes,préempte,préemptons,préemptez,préemptent,préemptais,préemptais,préemptait,préemptions,préemptiez,préemptaient,préempterai,préempteras,préemptera,préempterons,préempterez,préempteront
policer,police,polices,police,poliçons,policez,policent,poliçais,poliçais,poliçait,policions,policiez,poliçaient,policerai,policeras,policera,policerons,policerez,policeront
polliniser,pollinise,pollinises,pollinise,pollinisons,pollinisez,pollinisent,pollinisais,pollinisais,pollinisait,pollinisions,pollinisiez,pollinisaient,polliniserai,polliniseras,pollinisera,polliniserons,polliniserez,polliniseront
poivrer,poivre,poivres,poivre,poivrons,poivrez,poivrent,poivrais,poivrais,poivrait,poivrions,poivriez,poivraient,poivrerai,poivreras,poivrera,poivrerons,poivrerez,poivreront
præmunir,præmunis,præmunis,præmunit,præmunissons,præmunissez,præmunissent,præmunissais,præmunissais,præmunissait,præmunissions,præmunissiez,præmunissaient,præmunirai,præmuniras,præmunira,præmunirons,præmunirez,præmuniront
plisser,plisse,plisses,plisse,plissons,plissez,plissent,plissais,plissais,plissait,plissions,plissiez,plissaient,plisserai,plisseras,plissera,plisserons,plisserez,plisseront
pinailler,pinaille,pinailles,pinaille,pinaillons,pinaillez,pinaillent,pinaillais,pinaillais,pinaillait,pinaillions,pinailliez,pinaillaient,pinaillerai,pinailleras,pinaillera,pinaillerons,pinaillerez,pinailleront
pivoter,pivote,pivotes,pivote,pivotons,pivotez,pivotent,pivotais,pivotais,pivotait,pivotions,pivotiez,pivotaient,pivoterai,pivoteras,pivotera,pivoterons,pivoterez,pivoteront
portraiturer,portraiture,portraitures,portraiture,portraiturons,portraiturez,portraiturent,portraiturais,portraiturais,portraiturait,portraiturions,portraituriez,portraituraient,portraiturerai,portraitureras,portraiturera,portraiturerons,portraiturerez,portraitureront
pousser,pousse,pousses,pousse,poussons,poussez,poussent,poussais,poussais,poussait,poussions,poussiez,poussaient,pousserai,pousseras,poussera,pousserons,pousserez,pousseront
philosopher,philosophe,philosophes,philosophe,philosophons,philosophez,philosophent,philosophais,philosophais,philosophait,philosophions,philosophiez,philosophaient,philosopherai,philosopheras,philosophera,philosopherons,philosopherez,philosopheront
pleuvioter,,,pleuviote,,,,,,pleuviotait,,,,,,pleuviotera,,,
permuter,permute,permutes,permute,permutons,permutez,permutent,permutais,permutais,permutait,permutions,permutiez,permutaient,permuterai,permuteras,permutera,permuterons,permuterez,permuteront
poétiser,poétise,poétises,poétise,poétisons,poétisez,poétisent,poétisais,poétisais,poétisait,poétisions,poétisiez,poétisaient,poétiserai,poétiseras,poétisera,poétiserons,poétiserez,poétiseront
piailler,piaille,piailles,piaille,piaillons,piaillez,piaillent,piaillais,piaillais,piaillait,piaillions,piailliez,piaillaient,piaillerai,piailleras,piaillera,piaillerons,piaillerez,piailleront
pogner,pogne,pognes,pogne,pognons,pognez,pognent,pognais,pognais,pognait,pognions,pogniez,pognaient,pognerai,pogneras,pognera,pognerons,pognerez,pogneront
plancher,planche,planches,planche,planchons,planchez,planchent,planchais,planchais,planchait,planchions,planchiez,planchaient,plancherai,plancheras,planchera,plancherons,plancherez,plancheront
porter,porte,portes,porte,portons,portez,portent,portais,portais,portait,portions,portiez,portaient,porterai,porteras,portera,porterons,porterez,porteront
pisser,pisse,pisses,pisse,pissons,pissez,pissent,pissais,pissais,pissait,pissions,pissiez,pissaient,pisserai,pisseras,pissera,pisserons,pisserez,pisseront
pondérer,pondère,pondères,pondère,pondérons,pondérez,pondèrent,pondérais,pondérais,pondérait,pondérions,pondériez,pondéraient,pondèrerai;pondérerai,pondèreras;pondéreras,pondèrera;pondérera,pondèrerons;pondérerons,pondèrerez;pondérerez,pondèreront;pondéreront
prédire,prédis,prédis,prédit,prédisons,prédisez,prédisent,prédisais,prédisais,prédisait,prédisions,prédisiez,prédisaient,prédirai,prédiras,prédira,prédirons,prédirez,prédiront
poudrer,poudre,poudres,poudre,poudrons,poudrez,poudrent,poudrais,poudrais,poudrait,poudrions,poudriez,poudraient,poudrerai,poudreras,poudrera,poudrerons,poudrerez,poudreront
piétiner,piétine,piétines,piétine,piétinons,piétinez,piétinent,piétinais,piétinais,piétinait,piétinions,piétiniez,piétinaient,piétinerai,piétineras,piétinera,piétinerons,piétinerez,piétineront
ployer,ploie,ploies,ploie,ployons,ployez,ploient,ployais,ployais,ployait,ployions,ployiez,ployaient,ploierai,ploieras,ploiera,ploierons,ploierez,ploieront
phantastiquer,phantastique,phantastiques,phantastique,phantastiquons,phantastiquez,phantastiquent,phantastiquais,phantastiquais,phantastiquait,phantastiquions,phantastiquiez,phantastiquaient,phantastiquerai,phantastiqueras,phantastiquera,phantastiquerons,phantastiquerez,phantastiqueront
piler,pile,piles,pile,pilons,pilez,pilent,pilais,pilais,pilait,pilions,piliez,pilaient,pilerai,pileras,pilera,pilerons,pilerez,pileront
phraser,phrase,phrases,phrase,phrasons,phrasez,phrasent,phrasais,phrasais,phrasait,phrasions,phrasiez,phrasaient,phraserai,phraseras,phrasera,phraserons,phraserez,phraseront
persuader,persuade,persuades,persuade,persuadons,persuadez,persuadent,persuadais,persuadais,persuadait,persuadions,persuadiez,persuadaient,persuaderai,persuaderas,persuadera,persuaderons,persuaderez,persuaderont
pieuter,pieute,pieutes,pieute,pieutons,pieutez,pieutent,pieutais,pieutais,pieutait,pieutions,pieutiez,pieutaient,pieuterai,pieuteras,pieutera,pieuterons,pieuterez,pieuteront
plébisciter,plébiscite,plébiscites,plébiscite,plébiscitons,plébiscitez,plébiscitent,plébiscitais,plébiscitais,plébiscitait,plébiscitions,plébiscitiez,plébiscitaient,plébisciterai,plébisciteras,plébiscitera,plébisciterons,plébisciterez,plébisciteront
poursuivre,poursuis,poursuis,poursuit,poursuivons,poursuivez,poursuivent,poursuivais,poursuivais,poursuivait,poursuivions,poursuiviez,poursuivaient,poursuivrai,poursuivras,poursuivra,poursuivrons,poursuivrez,poursuivront
pilonner,pilonne,pilonnes,pilonne,pilonnons,pilonnez,pilonnent,pilonnais,pilonnais,pilonnait,pilonnions,pilonniez,pilonnaient,pilonnerai,pilonneras,pilonnera,pilonnerons,pilonnerez,pilonneront
persécuter,persécute,persécutes,persécute,persécutons,persécutez,persécutent,persécutais,persécutais,persécutait,persécutions,persécutiez,persécutaient,persécuterai,persécuteras,persécutera,persécuterons,persécuterez,persécuteront
planifier,planifie,planifies,planifie,planifions,planifiez,planifient,planifiais,planifiais,planifiait,planifiions,planifiiez,planifiaient,planifierai,planifieras,planifiera,planifierons,planifierez,planifieront
précariser,précarise,précarises,précarise,précarisons,précarisez,précarisent,précarisais,précarisais,précarisait,précarisions,précarisiez,précarisaient,précariserai,précariseras,précarisera,précariserons,précariserez,précariseront
polémiquer,polémique,polémiques,polémique,polémiquons,polémiquez,polémiquent,polémiquais,polémiquais,polémiquait,polémiquions,polémiquiez,polémiquaient,polémiquerai,polémiqueras,polémiquera,polémiquerons,polémiquerez,polémiqueront
prædire,prædis,prædis,prædit,prædisons,prædisez,prædisent,prædisais,prædisais,prædisait,prædisions,prædisiez,prædisaient,prædirai,prædiras,prædira,prædirons,prædirez,prædiront
pionner,pionne,pionnes,pionne,pionnons,pionnez,pionnent,pionnais,pionnais,pionnait,pionnions,pionniez,pionnaient,pionnerai,pionneras,pionnera,pionnerons,pionnerez,pionneront
prêcher,prêche,prêches,prêche,prêchons,prêchez,prêchent,prêchais,prêchais,prêchait,prêchions,prêchiez,prêchaient,prêcherai,prêcheras,prêchera,prêcherons,prêcherez,prêcheront
permettre,permets,permets,permet,permettons,permettez,permettent,permettais,permettais,permettait,permettions,permettiez,permettaient,permettrai,permettras,permettra,permettrons,permettrez,permettront
piffer,piffe,piffes,piffe,piffons,piffez,piffent,piffais,piffais,piffait,piffions,piffiez,piffaient,pifferai,pifferas,piffera,pifferons,pifferez,pifferont
piner,pine,pines,pine,pinons,pinez,pinent,pinais,pinais,pinait,pinions,piniez,pinaient,pinerai,pineras,pinera,pinerons,pinerez,pineront
pigmenter,pigmente,pigmentes,pigmente,pigmentons,pigmentez,pigmentent,pigmentais,pigmentais,pigmentait,pigmentions,pigmentiez,pigmentaient,pigmenterai,pigmenteras,pigmentera,pigmenterons,pigmenterez,pigmenteront
précipiter,précipite,précipites,précipite,précipitons,précipitez,précipitent,précipitais,précipitais,précipitait,précipitions,précipitiez,précipitaient,précipiterai,précipiteras,précipitera,précipiterons,précipiterez,précipiteront
positiver,positive,positives,positive,positivons,positivez,positivent,positivais,positivais,positivait,positivions,positiviez,positivaient,positiverai,positiveras,positivera,positiverons,positiverez,positiveront
pouponner,pouponne,pouponnes,pouponne,pouponnons,pouponnez,pouponnent,pouponnais,pouponnais,pouponnait,pouponnions,pouponniez,pouponnaient,pouponnerai,pouponneras,pouponnera,pouponnerons,pouponnerez,pouponneront
perturber,perturbe,perturbes,perturbe,perturbons,perturbez,perturbent,perturbais,perturbais,perturbait,perturbions,perturbiez,perturbaient,perturberai,perturberas,perturbera,perturberons,perturberez,perturberont
pincer,pince,pinces,pince,pinçons,pincez,pincent,pinçais,pinçais,pinçait,pincions,pinciez,pinçaient,pincerai,pinceras,pincera,pincerons,pincerez,pinceront
perler,perle,perles,perle,perlons,perlez,perlent,perlais,perlais,perlait,perlions,perliez,perlaient,perlerai,perleras,perlera,perlerons,perlerez,perleront
polymériser,polymérise,polymérises,polymérise,polymérisons,polymérisez,polymérisent,polymérisais,polymérisais,polymérisait,polymérisions,polymérisiez,polymérisaient,polymériserai,polymériseras,polymérisera,polymériserons,polymériserez,polymériseront
pleuvoir,,,pleut,,,pleuvent,,,pleuvait,,,pleuvaient,,,pleuvra,,,pleuvront
potasser,potasse,potasses,potasse,potassons,potassez,potassent,potassais,potassais,potassait,potassions,potassiez,potassaient,potasserai,potasseras,potassera,potasserons,potasserez,potasseront
pouffer,pouffe,pouffes,pouffe,pouffons,pouffez,pouffent,pouffais,pouffais,pouffait,pouffions,pouffiez,pouffaient,poufferai,poufferas,pouffera,poufferons,poufferez,poufferont
pleuviner,,,pleuvine,,,,,,pleuvinait,,,,,,pleuvinera,,,
pomponner,pomponne,pomponnes,pomponne,pomponnons,pomponnez,pomponnent,pomponnais,pomponnais,pomponnait,pomponnions,pomponniez,pomponnaient,pomponnerai,pomponneras,pomponnera,pomponnerons,pomponnerez,pomponneront
praliner,praline,pralines,praline,pralinons,pralinez,pralinent,pralinais,pralinais,pralinait,pralinions,praliniez,pralinaient,pralinerai,pralineras,pralinera,pralinerons,pralinerez,pralineront
poêler,poêle,poêles,poêle,poêlons,poêlez,poêlent,poêlais,poêlais,poêlait,poêlions,poêliez,poêlaient,poêlerai,poêleras,poêlera,poêlerons,poêlerez,poêleront
plaider,plaide,plaides,plaide,plaidons,plaidez,plaident,plaidais,plaidais,plaidait,plaidions,plaidiez,plaidaient,plaiderai,plaideras,plaidera,plaiderons,plaiderez,plaideront
préchauffer,préchauffe,préchauffes,préchauffe,préchauffons,préchauffez,préchauffent,préchauffais,préchauffais,préchauffait,préchauffions,préchauffiez,préchauffaient,préchaufferai,préchaufferas,préchauffera,préchaufferons,préchaufferez,préchaufferont
potentialiser,potentialise,potentialises,potentialise,potentialisons,potentialisez,potentialisent,potentialisais,potentialisais,potentialisait,potentialisions,potentialisiez,potentialisaient,potentialiserai,potentialiseras,potentialisera,potentialiserons,potentialiserez,potentialiseront
piorner,piorne,piornes,piorne,piornons,piornez,piornent,piornais,piornais,piornait,piornions,piorniez,piornaient,piornerai,piorneras,piornera,piornerons,piornerez,piorneront
polissonner,polissonne,polissonnes,polissonne,polissonnons,polissonnez,polissonnent,polissonnais,polissonnais,polissonnait,polissonnions,polissonniez,polissonnaient,polissonnerai,polissonneras,polissonnera,polissonnerons,polissonnerez,polissonneront
pérorer,pérore,pérores,pérore,pérorons,pérorez,pérorent,pérorais,pérorais,pérorait,pérorions,péroriez,péroraient,pérorerai,péroreras,pérorera,pérorerons,pérorerez,péroreront
poster,poste,postes,poste,postons,postez,postent,postais,postais,postait,postions,postiez,postaient,posterai,posteras,postera,posterons,posterez,posteront
perroqueter,perroquette,perroquettes,perroquette,perroquetons,perroquetez,perroquettent,perroquetais,perroquetais,perroquetait,perroquetions,perroquetiez,perroquetaient,perroquetterai,perroquetteras,perroquettera,perroquetterons,perroquetterez,perroquetteront
prédécouper,prédécoupe,prédécoupes,prédécoupe,prédécoupons,prédécoupez,prédécoupent,prédécoupais,prédécoupais,prédécoupait,prédécoupions,prédécoupiez,prédécoupaient,prédécouperai,prédécouperas,prédécoupera,prédécouperons,prédécouperez,prédécouperont
piaffer,piaffe,piaffes,piaffe,piaffons,piaffez,piaffent,piaffais,piaffais,piaffait,piaffions,piaffiez,piaffaient,piafferai,piafferas,piaffera,piafferons,piafferez,piafferont
pratiquer,pratique,pratiques,pratique,pratiquons,pratiquez,pratiquent,pratiquais,pratiquais,pratiquait,pratiquions,pratiquiez,pratiquaient,pratiquerai,pratiqueras,pratiquera,pratiquerons,pratiquerez,pratiqueront
piller,pille,pilles,pille,pillons,pillez,pillent,pillais,pillais,pillait,pillions,pilliez,pillaient,pillerai,pilleras,pillera,pillerons,pillerez,pilleront
populariser,popularise,popularises,popularise,popularisons,popularisez,popularisent,popularisais,popularisais,popularisait,popularisions,popularisiez,popularisaient,populariserai,populariseras,popularisera,populariserons,populariserez,populariseront
postdater,postdate,postdates,postdate,postdatons,postdatez,postdatent,postdatais,postdatais,postdatait,postdations,postdatiez,postdataient,postdaterai,postdateras,postdatera,postdaterons,postdaterez,postdateront
placer,place,places,place,plaçons,placez,placent,plaçais,plaçais,plaçait,placions,placiez,plaçaient,placerai,placeras,placera,placerons,placerez,placeront
polariser,polarise,polarises,polarise,polarisons,polarisez,polarisent,polarisais,polarisais,polarisait,polarisions,polarisiez,polarisaient,polariserai,polariseras,polarisera,polariserons,polariserez,polariseront
plaisanter,plaisante,plaisantes,plaisante,plaisantons,plaisantez,plaisantent,plaisantais,plaisantais,plaisantait,plaisantions,plaisantiez,plaisantaient,plaisanterai,plaisanteras,plaisantera,plaisanterons,plaisanterez,plaisanteront
platiner,platine,platines,platine,platinons,platinez,platinent,platinais,platinais,platinait,platinions,platiniez,platinaient,platinerai,platineras,platinera,platinerons,platinerez,platineront
podcaster,podcaste,podcastes,podcaste,podcastons,podcastez,podcastent,podcastais,podcastais,podcastait,podcastions,podcastiez,podcastaient,podcasterai,podcasteras,podcastera,podcasterons,podcasterez,podcasteront
politiser,politise,politises,politise,politisons,politisez,politisent,politisais,politisais,politisait,politisions,politisiez,politisaient,politiserai,politiseras,politisera,politiserons,politiserez,politiseront
planer,plane,planes,plane,planons,planez,planent,planais,planais,planait,planions,planiez,planaient,planerai,planeras,planera,planerons,planerez,planeront
pétrifier,pétrifie,pétrifies,pétrifie,pétrifions,pétrifiez,pétrifient,pétrifiais,pétrifiais,pétrifiait,pétrifiions,pétrifiiez,pétrifiaient,pétrifierai,pétrifieras,pétrifiera,pétrifierons,pétrifierez,pétrifieront
pontifier,pontifie,pontifies,pontifie,pontifions,pontifiez,pontifient,pontifiais,pontifiais,pontifiait,pontifiions,pontifiiez,pontifiaient,pontifierai,pontifieras,pontifiera,pontifierons,pontifierez,pontifieront
plucher,pluche,pluches,pluche,pluchons,pluchez,pluchent,pluchais,pluchais,pluchait,pluchions,pluchiez,pluchaient,plucherai,plucheras,pluchera,plucherons,plucherez,plucheront
pétiller,pétille,pétilles,pétille,pétillons,pétillez,pétillent,pétillais,pétillais,pétillait,pétillions,pétilliez,pétillaient,pétillerai,pétilleras,pétillera,pétillerons,pétillerez,pétilleront
pilorier,pilorie,pilories,pilorie,pilorions,piloriez,pilorient,piloriais,piloriais,piloriait,piloriions,piloriiez,piloriaient,pilorierai,pilorieras,piloriera,pilorierons,pilorierez,pilorieront
peupler,peuple,peuples,peuple,peuplons,peuplez,peuplent,peuplais,peuplais,peuplait,peuplions,peupliez,peuplaient,peuplerai,peupleras,peuplera,peuplerons,peuplerez,peupleront
posséder,possède,possèdes,possède,possédons,possédez,possèdent,possédais,possédais,possédait,possédions,possédiez,possédaient,possèderai;posséderai,possèderas;posséderas,possèdera;possédera,possèderons;posséderons,possèderez;posséderez,possèderont;posséderont
pourvoir,pourvois,pourvois,pourvoit,pourvoyons,pourvoyez,pourvoient,pourvoyais,pourvoyais,pourvoyait,pourvoyions,pourvoyiez,pourvoyaient,pourvoirai,pourvoiras,pourvoira,pourvoirons,pourvoirez,pourvoiront
poudroyer,poudroie,poudroies,poudroie,poudroyons,poudroyez,poudroient,poudroyais,poudroyais,poudroyait,poudroyions,poudroyiez,poudroyaient,poudroierai,poudroieras,poudroiera,poudroierons,poudroierez,poudroieront
postillonner,postillonne,postillonnes,postillonne,postillonnons,postillonnez,postillonnent,postillonnais,postillonnais,postillonnait,postillonnions,postillonniez,postillonnaient,postillonnerai,postillonneras,postillonnera,postillonnerons,postillonnerez,postillonneront
préciser,précise,précises,précise,précisons,précisez,précisent,précisais,précisais,précisait,précisions,précisiez,précisaient,préciserai,préciseras,précisera,préciserons,préciserez,préciseront
pignocher,pignoche,pignoches,pignoche,pignochons,pignochez,pignochent,pignochais,pignochais,pignochait,pignochions,pignochiez,pignochaient,pignocherai,pignocheras,pignochera,pignocherons,pignocherez,pignocheront
plaquer,plaque,plaques,plaque,plaquons,plaquez,plaquent,plaquais,plaquais,plaquait,plaquions,plaquiez,plaquaient,plaquerai,plaqueras,plaquera,plaquerons,plaquerez,plaqueront
pitonner,pitonne,pitonnes,pitonne,pitonnons,pitonnez,pitonnent,pitonnais,pitonnais,pitonnait,pitonnions,pitonniez,pitonnaient,pitonnerai,pitonneras,pitonnera,pitonnerons,pitonnerez,pitonneront
prédisposer,prédispose,prédisposes,prédispose,prédisposons,prédisposez,prédisposent,prédisposais,prédisposais,prédisposait,prédisposions,prédisposiez,prédisposaient,prédisposerai,prédisposeras,prédisposera,prédisposerons,prédisposerez,prédisposeront
pourchasser,pourchasse,pourchasses,pourchasse,pourchassons,pourchassez,pourchassent,pourchassais,pourchassais,pourchassait,pourchassions,pourchassiez,pourchassaient,pourchasserai,pourchasseras,pourchassera,pourchasserons,pourchasserez,pourchasseront
pester,peste,pestes,peste,pestons,pestez,pestent,pestais,pestais,pestait,pestions,pestiez,pestaient,pesterai,pesteras,pestera,pesterons,pesterez,pesteront
personnaliser,personnalise,personnalises,personnalise,personnalisons,personnalisez,personnalisent,personnalisais,personnalisais,personnalisait,personnalisions,personnalisiez,personnalisaient,personnaliserai,personnaliseras,personnalisera,personnaliserons,personnaliserez,personnaliseront
piquer,pique,piques,pique,piquons,piquez,piquent,piquais,piquais,piquait,piquions,piquiez,piquaient,piquerai,piqueras,piquera,piquerons,piquerez,piqueront
plonger,plonge,plonges,plonge,plongeons,plongez,plongent,plongeais,plongeais,plongeait,plongions,plongiez,plongeaient,plongerai,plongeras,plongera,plongerons,plongerez,plongeront
prætendre,prætends,prætends,prætend,prætendons,prætendez,prætendent,prætendais,prætendais,prætendait,prætendions,prætendiez,prætendaient,prætendrai,prætendras,prætendra,prætendrons,prætendrez,prætendront
piloter,pilote,pilotes,pilote,pilotons,pilotez,pilotent,pilotais,pilotais,pilotait,pilotions,pilotiez,pilotaient,piloterai,piloteras,pilotera,piloterons,piloterez,piloteront
postsynchroniser,postsynchronise,postsynchronises,postsynchronise,postsynchronisons,postsynchronisez,postsynchronisent,postsynchronisais,postsynchronisais,postsynchronisait,postsynchronisions,postsynchronisiez,postsynchronisaient,postsynchroniserai,postsynchroniseras,postsynchronisera,postsynchroniserons,postsynchroniserez,postsynchroniseront
